Pantry,Address,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
New Enfield Food Distribution,,42.42203146,-76.57251219,2,0,0,0,0,2,2
School Food Center - Enfield Elementary,20 Enfield Main Rd. Ithaca NY 14850,42.448427,-76.632048,7,0,0,0,0,0,0
Newfield Kitchen Cupboard,227 Main Street Newfield NY 14867,42.360178,-76.593769,0,0,1.5,0,0,0,0
Ithaca Kitchen Cupboard,150 N. Albany Street Ithaca NY 14850,42.439947,-76.502078,2,2,2,2,1.5,0,0
Immaculate Conception Food Pantry,113 North Geneva Street Ithaca NY 14850,42.440163,-76.500142,0,1,0,0,0,0,0
Loaves & Fishes of Tompkins County,210 N Cayuga Street Ithaca NY 14850,42.441115,-76.499519,1.5,1.5,1.5,1.5,1.5,0,0
The Salvation Army - Ithaca,150 N. Albany Street Ithaca NY 14850,42.439947,-76.502078,0,0,0,0,0,2.5,1.5
REACH Medical,130 E. Seneca Street Suite 300 Ithaca NY 14850,42.4406919,-76.4974885,8,8,8,8,8,0,0
Greater Ithaca Activities Center (GIAC),301 West Court Street Ithaca NY 14850,42.442177,-76.502258,9,9,9,9,9,0,0
Southside Community Center,305 South Plain Street Ithaca NY 14850,42.4374258,-76.5035228,0,3,3,3,0,2,0
Prunty's Pantry (Ithaca College Food Pantry),201 Egbert Hall Ithaca NY 14850,42.4221638,-76.4941717,0,2,2,2,2,0,0
Baptized Church of Jesus Christ Food Pantry,412 First Street Ithaca NY 14850,42.4477367,-76.5036463,0,0,2,0,0,2,0
NML Food Giveaway (No Mas Lagrimas),301 South Geneva St. Ithaca NY 14850,42.436471,-76.5001663,0,0,0,2,0,0,0
Cornell Food Pantry,109 McGraw Place Ithaca NY 14853,42.4501202,-76.488806,0,3,3,3,3,0,3
School Food Center - Ithaca High School (Community Closet),1401 N Cayuga Street Ithaca NY 14850,42.4558461,-76.4989603,0,3.7,1.5,1.75,5.2,0,0
Tompkins Community Action (TCA),701 Spencer Rd Ithaca NY 14850,42.4191636,-76.5186836,3,2.75,5.25,0,0,0,0
School Food Center - TST BOCES,555 Warren Rd Ithaca NY 14850,42.4757225,-76.4644945,0,0,0,0,1.5,0,0
YMCA of Ithaca & Tompkins County Food Pantry,50 Graham Rd. Ithaca NY 14850,42.48641930,-76.49028890,6,0,0,0,6,0,0
Lansing Food Pantry,1767 East Shore Drive Ithaca NY 14882,42.51799600,-76.50332770,2,0,0,0,0,0,0
Danby Food Pantry,1859 Danby Road Ithaca NY 14850,42.35231700,-76.48002280,0,0,0,2,0,0,0
Caroline Food Pantry,522 Valley Rd. Brooktondale NY 14817,42.38070860, -76.39370400,2,0,0,0,0,0,0
