GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7H001
"G36009709501001000","2020","NY","1000000US360979501001000","360979501001000","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1000","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","920631","0","1000","Block 1000","S","+42.5430943","-076.7028522","BK","99999",11
"G36009709501001001","2020","NY","1000000US360979501001001","360979501001001","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1001","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","465087","0","1001","Block 1001","S","+42.5429899","-076.7145191","BK","99999",17
"G36009709501001002","2020","NY","1000000US360979501001002","360979501001002","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1002","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","1181850","0","1002","Block 1002","S","+42.5405244","-076.7234258","BK","99999",40
"G36009709501001003","2020","NY","1000000US360979501001003","360979501001003","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1003","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","735438","0","1003","Block 1003","S","+42.5388363","-076.7302027","BK","99999",5
"G36009709501001004","2020","NY","1000000US360979501001004","360979501001004","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1004","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","604019","0","1004","Block 1004","S","+42.5417939","-076.7406130","BK","99999",3
"G36009709501001005","2020","NY","1000000US360979501001005","360979501001005","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1005","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14847","99999","99999","22140","02404","702479","0","1005","Block 1005","S","+42.5433667","-076.7543521","BK","99999",0
"G36009709501001006","2020","NY","1000000US360979501001006","360979501001006","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1006","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14847","99999","99999","22140","02404","2391898","0","1006","Block 1006","S","+42.5389003","-076.7640780","BK","99999",12
"G36009709501001007","2020","NY","1000000US360979501001007","360979501001007","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1007","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","22140","02404","30016","0","1007","Block 1007","S","+42.5375657","-076.7784538","BK","99999",0
"G36009709501001008","2020","NY","1000000US360979501001008","360979501001008","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1008","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","1356082","0","1008","Block 1008","S","+42.5355389","-076.7832543","BK","99999",0
"G36009709501001009","2020","NY","1000000US360979501001009","360979501001009","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1009","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","204349","0","1009","Block 1009","S","+42.5423561","-076.7861693","BK","99999",0
"G36009709501001010","2020","NY","1000000US360979501001010","360979501001010","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1010","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","22140","02404","183789","0","1010","Block 1010","S","+42.5408131","-076.7901174","BK","99999",12
"G36009709501001011","2020","NY","1000000US360979501001011","360979501001011","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1011","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","1248764","0","1011","Block 1011","S","+42.5361857","-076.7089458","BK","99999",45
"G36009709501001012","2020","NY","1000000US360979501001012","360979501001012","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1012","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","47203","0","1012","Block 1012","S","+42.5377736","-076.6994374","BK","99999",5
"G36009709501001013","2020","NY","1000000US360979501001013","360979501001013","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1013","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","2497866","0","1013","Block 1013","S","+42.5257751","-076.7034368","BK","99999",121
"G36009709501001014","2020","NY","1000000US360979501001014","360979501001014","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1014","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","380182","0","1014","Block 1014","S","+42.5280578","-076.7179831","BK","99999",6
"G36009709501001015","2020","NY","1000000US360979501001015","360979501001015","1","2","New York","36","Schuyler County","097","33073","T1","99999","99999","99999","99","950100","1","1015","9999","9999","9999","99","999","999999","9","99999","99999","9","999","99999","99999","9","999","99999","9","9","99999","R","23","058","132","000007","A","14886","99999","99999","28980","02404","631712","0","1015","Block 1015","S","+42.5332627","-076.7294730","BK","99999",31
