Pantry,Address,Lat,Long,lot_acres
Tompkins Community Action,,42.41878457,-76.51849251,1.6
St. Johns Community Services Pantry,,42.44083863,-76.50911682,0.1
Ithaca Free Clinic,,42.44084334,-76.5071945,0.4
Salvation Army SK- Ithaca Saturday FP,,42.44118249,-76.50215328,0.6
Immaculate Conception Food Pantry,,42.44128202,-76.50058435,0.5
Baptized Church of Jesus Christ,,42.44898265,-76.50348846,0.2
Enfield Food Distribution,,42.43718048,-76.63133343,0.3
Ithaca Kitchen Cupboard,150 N. Albany St.,42.439746,-76.501823,0.6
Schyuler Outreach Food Pantry,,42.37714183,	-76.86998803,0.1
Schyuler County Food Pantry,,42.34511707,-76.84709696,0.25
Pantry at Schyuler Hospital,,42.34706951,-76.85217244,2.5
Catholic Charities Food Pantry,,42.37708635,-76.87004168,0.1
